s	f	o
Astyanax_lacustris	Characidae	Characiformes
Aplocheilus_lineatus	Aplocheilidae	Cyprinodontiformes
Astyanacinus_moorii	Characidae	Characiformes
Astyanax_sp	Characidae	Characiformes
Astyanax_eigenmanniorum	Characidae	Characiformes
Astyanax_fasciatus	Characidae	Characiformes
Apareiodon_ibitiensis	Parodontidae	Characiformes
Ancistrus_sp	Loricariidae	Siluriformes
Astyanax_paranae	Characidae	Characiformes
Apareiodon_piracicabae	Parodontidae	Characiformes
Bryconamericus_sp	Characidae	Characiformes
Bryconamericus_stramineus	Characidae	Characiformes
Corydoras_aeneus	Callichthyidae	Siluriformes
Crenicichla_britskii	Cichlidae	Cichliformes
Crenicichla_sp	Cichlidae	Cichliformes
Callichthys_callichthys	Callichthyidae	Siluriformes
Characidium_gomesi	Characidae	Characiformes
Characidium_laterale	Characidae	Characiformes
Cichlasoma_paranaense	Cichlidae	Cichliformes
Characidium_zebra	Characidae	Characiformes
Deuterodon_sp	Characidae	Characiformes
Gymnotus_sp	Sternopygidae	Gymnotiformes
Gymnotus_inaequilabiatus	Sternopygidae	Gymnotiformes
Hypostomus_ancistroides	Loricariidae	Siluriformes
Hypostomus_cochliodon	Loricariidae	Siluriformes
Hypostomus_iheringii	Loricariidae	Siluriformes
Hypostomus_paraguai	Loricariidae	Siluriformes
Hisonotus_insperatus	Loricariidae	Siluriformes
Hisonotus_sp	Loricariidae	Siluriformes
Hoplias_malabaricus	Erythrinidae	Characiformes
Hemigrammus_marginatus	Characidae	Characiformes
Hypostomus_sp	Loricariidae	Siluriformes
Imparfinis_schubarti	Heptapteridae	Siluriformes
Jupiaba_acantogaster	Characidae	Characiformes
Leporinus_friderici	Anostomidae	Characiformes
Loricariichthys_platymetopon	Loricariidae	Siluriformes
Moenkhausia_sanctaefilomenae	Characidae	Characiformes
Oligosarcus_pintoi	Characidae	Characiformes
Piabina_argentea	Characidae	Characiformes
Piabina_sp	Characidae	Characiformes
Pyrrhulina_australis	Lebiasinidae	Characiformes
Trachelyopterus_galeatus	Auchenipteridae	Siluriformes
Psellogrammus_kennedyi	Characidae	Characiformes
Parodon_nasus	Parodontidae	Characiformes
Poecilia_reticulata	Poeciliidae	Cyprinodontiformes
Phenacorhamdia_tenebrosa	Heptapteridae	Siluriformes
Pyxiloricaria_menezesi	Loricariidae	Siluriformes
Rineloricaria_sp	Loricariidae	Siluriformes
Rineloricaria_lanceolata	Loricariidae	Siluriformes
Roeboides_paranensis	Characidae	Characiformes
Rhamdia_quelen	Heptapteridae	Siluriformes
Serrapinnus_microdon	Characidae	Characiformes
Synbranchus_marmoratus	Synbranchidae	Synbranchiformes
Serrapinnus_notomelas	Characidae	Characiformes
