;R2;Pr(>F);R2;Pr(>F);R2;Pr(>F);
Turbidez;0.04122;0.265;0.07972;0.061;-0.00169;0.869;
pH;0.11142;0.004;0.10489;0.03;0.16215;0.04;*
Condutividade;0.06094;0.092;0.08256;0.053;0.02187;0.436;
O2.porc;0.03452;0.395;0.05591;0.148;-0.01541;0.973;
Altitude;0.0672;0.074;0.04794;0.202;0.11249;0.08;.
Temp;0.03723;0.334;0.05076;0.202;0.01435;0.528;
Profundidade;0.04771;0.182;0.07644;0.073;-0.01281;0.963;
Velocidade;0.06314;0.087;0.10219;0.03;0.00637;0.692;
bacia;0.051;0.15;0.08362;0.05;-0.00242;0.867;
Residual;0.32175;;0.28027;;0.26715;;
